kota,provinsi,types,kota english,singkatan_provinsi
Aceh Barat,Aceh,Kabupaten,West Aceh,Aceh
Aceh Barat Daya,Aceh,Kabupaten,Southwest Aceh,Aceh
Aceh Besar,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Aceh Jaya,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Aceh Selatan,Aceh,Kabupaten,South Aceh,Aceh
Aceh Singkil,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Aceh Tamiang,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Aceh Tengah,Aceh,Kabupaten,Central Aceh,Aceh
Aceh Tenggara,Aceh,Kabupaten,Southeast Aceh,Aceh
Aceh Timur,Aceh,Kabupaten,East Aceh,Aceh
Aceh Utara,Aceh,Kabupaten,North Aceh,Aceh
Banda Aceh,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Bener Meriah,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Bireuen,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Gayo Lues,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Langsa,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Lhokseumawe,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Nagan Raya,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Pidie,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Pidie Jaya,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Sabang,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Simeulue,Aceh,Kabupaten,kotatidakbisadigantibahasa,Aceh
Subulussalam,Aceh,Kota,kotatidakbisadigantibahasa,Aceh
Badung,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Bangli,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Buleleng,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Denpasar,Bali,Kota,kotatidakbisadigantibahasa,Bali
Gianyar,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Jembrana,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Karangasem,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Klungkung,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Tabanan,Bali,Kabupaten,kotatidakbisadigantibahasa,Bali
Cilegon,Banten,Kota,kotatidakbisadigantibahasa,Banten
Kota Serang,Banten,Kota,City of Serang,Banten
Kota Tangerang,Banten,Kota,Tangerang City,Banten
Lebak,Banten,Kabupaten,kotatidakbisadigantibahasa,Banten
Pandeglang,Banten,Kabupaten,kotatidakbisadigantibahasa,Banten
Serang,Banten,Kabupaten,kotatidakbisadigantibahasa,Banten
Tangerang,Banten,Kabupaten,kotatidakbisadigantibahasa,Banten
Tangerang Selatan,Banten,Kota,South Tangerang,Banten
Bengkulu,Bengkulu,Kota,kotatidakbisadigantibahasa,Bengkulu
Bengkulu Selatan,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Bengkulu Tengah,Bengkulu,Kabupaten,Central Bengkulu,Bengkulu
Bengkulu Utara,Bengkulu,Kabupaten,North Bengkulu,Bengkulu
Kaur,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Kepahiang,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Lebong,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Mukomuko,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Rejang Lebong,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Seluma,Bengkulu,Kabupaten,kotatidakbisadigantibahasa,Bengkulu
Bantul,DI Yogyakarta,Kabupaten,kotatidakbisadigantibahasa,Yogyakarta
Gunung Kidul,DI Yogyakarta,Kabupaten,South Mountain,Yogyakarta
Kota Yogyakarta,DI Yogyakarta,Kota,Yogyakarta City,Yogyakarta
Kulon Progo,DI Yogyakarta,Kabupaten,West of Progo,Yogyakarta
Sleman,DI Yogyakarta,Kabupaten,kotatidakbisadigantibahasa,Yogyakarta
Jakarta Barat,DKI Jakarta,Kota,west Jakarta,Jakarta
Jakarta Pusat,DKI Jakarta,Kota,Central Jakarta,Jakarta
Jakarta Selatan,DKI Jakarta,Kota,South Jakarta,Jakarta
Jakarta Timur,DKI Jakarta,Kota,East Jakarta,Jakarta
Jakarta Utara,DKI Jakarta,Kota,North Jakarta,Jakarta
Kepulauan Seribu,DKI Jakarta,Kabupaten,Thousand Islands,Jakarta
Boalemo,Gorontalo,Kabupaten,kotatidakbisadigantibahasa,Gorontalo
Bone Bolango,Gorontalo,Kabupaten,kotatidakbisadigantibahasa,Gorontalo
Danau Limboto,Gorontalo,Kabupaten,Lake Limboto,Gorontalo
Gorontalo,Gorontalo,Kabupaten,kotatidakbisadigantibahasa,Gorontalo
Gorontalo Utara,Gorontalo,Kabupaten,North Gorontalo,Gorontalo
Kota Gorontalo,Gorontalo,Kota,Gorontalo City,Gorontalo
Pohuwato,Gorontalo,Kabupaten,kotatidakbisadigantibahasa,Gorontalo
Batang Hari,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Bungo,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Jambi,Jambi,Kota,kotatidakbisadigantibahasa,Jambi
Kerinci,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Merangin,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Muaro Jambi,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Sarolangun,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Sungai Penuh,Jambi,Kota,kotatidakbisadigantibahasa,Jambi
Tanjung Jabung B,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Tanjung Jabung T,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Tebo,Jambi,Kabupaten,kotatidakbisadigantibahasa,Jambi
Bandung,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Bandung Barat,Jawa Barat,Kabupaten,west bandung,Jabar
Banjar,Jawa Barat,Kota,kotatidakbisadigantibahasa,Jabar
Bekasi,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Bogor,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Ciamis,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Cianjur,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Cimahi,Jawa Barat,Kota,kotatidakbisadigantibahasa,Jabar
Cirebon,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Depok,Jawa Barat,Kota,kotatidakbisadigantibahasa,Jabar
Garut,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Indramayu,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Karawang,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Kota Bandung,Jawa Barat,Kota,Bandung City,Jabar
Kota Bekasi,Jawa Barat,Kota,Bekasi city,Jabar
Kota Bogor,Jawa Barat,Kota,Bogor city,Jabar
Kota Cirebon,Jawa Barat,Kota,Cirebon City,Jabar
Kota Sukabumi,Jawa Barat,Kota,Sukabumi City,Jabar
Kota Tasikmalaya,Jawa Barat,Kota,City of Tasikmalaya,Jabar
Kuningan,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Majalengka,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Purwakarta,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Subang,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Sukabumi,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Sumedang,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Tasikmalaya,Jawa Barat,Kabupaten,kotatidakbisadigantibahasa,Jabar
Banjarnegara,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Banyumas,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Batang,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Blora,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Boyolali,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Brebes,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Cilacap,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Demak,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Grobogan,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Jepara,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Karanganyar,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Kebumen,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Kendal,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Klaten,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Kota Magelang,Jawa Tengah,Kota,Magelang City,Jateng
Kota Pekalongan,Jawa Tengah,Kota,Pekalongan City,Jateng
Kota Semarang,Jawa Tengah,Kota,Semarang city,Jateng
Kota Tegal,Jawa Tengah,Kota,Tegal City,Jateng
Kudus,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Magelang,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Pati,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Pekalongan,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Pemalang,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Purbalingga,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Purworejo,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Rembang,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Salatiga,Jawa Tengah,Kota,kotatidakbisadigantibahasa,Jateng
Semarang,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Sragen,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Sukoharjo,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Surakarta,Jawa Tengah,Kota,kotatidakbisadigantibahasa,Jateng
Tegal,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Temanggung,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Wonogiri,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Wonosobo,Jawa Tengah,Kabupaten,kotatidakbisadigantibahasa,Jateng
Bangkalan,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Banyuwangi,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Batu,Jawa Timur,Kota,kotatidakbisadigantibahasa,Jawa Timur
Blitar,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Bojonegoro,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Bondowoso,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Gresik,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Jember,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Jombang,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Kediri,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Kota Blitar,Jawa Timur,Kota,Blitar City,Jawa Timur
Kota Kediri,Jawa Timur,Kota,Kediri City,Jawa Timur
Kota Madiun,Jawa Timur,Kota,Madiun City,Jawa Timur
Kota Malang,Jawa Timur,Kota,Malang city,Jawa Timur
Kota Mojokerto,Jawa Timur,Kota,Mojokerto City,Jawa Timur
Kota Pasuruan,Jawa Timur,Kota,Pasuruan City,Jawa Timur
Kota Probolinggo,Jawa Timur,Kota,City of Probolinggo,Jawa Timur
Lamongan,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Lumajang,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Madiun,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Magetan,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Malang,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Mojokerto,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Nganjuk,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Ngawi,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Pacitan,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Pamekasan,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Pasuruan,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Ponorogo,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Probolinggo,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Sampang,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Sidoarjo,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Situbondo,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Sumenep,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Surabaya,Jawa Timur,Kota,kotatidakbisadigantibahasa,Jawa Timur
Trenggalek,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Tuban,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Tulungagung,Jawa Timur,Kabupaten,kotatidakbisadigantibahasa,Jawa Timur
Bengkayang,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Kapuas Hulu,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Kayong Utara,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Ketapang,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Kota Pontianak,Kalimantan Barat,Kota,Pontianak City,kalbar
Kubu Raya,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Landak,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Melawi,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Pontianak,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Sambas,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Sanggau,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Sekadau,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Singkawang,Kalimantan Barat,Kota,kotatidakbisadigantibahasa,kalbar
Sintang,Kalimantan Barat,Kabupaten,kotatidakbisadigantibahasa,kalbar
Balangan,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Banjar,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Banjar Baru,Kalimantan Selatan,Kota,kotatidakbisadigantibahasa,kalsel
Banjarmasin,Kalimantan Selatan,Kota,kotatidakbisadigantibahasa,kalsel
Barito Kuala,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Hulu Sungai Selatan,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Hulu Sungai Tengah,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Hulu Sungai Utara,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Kota Baru,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Tabalong,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Tanah Bumbu,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Tanah Laut,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Tapin,Kalimantan Selatan,Kabupaten,kotatidakbisadigantibahasa,kalsel
Barito Selatan,Kalimantan Tengah,Kabupaten,South Barito,kalteng
Barito Timur,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Barito Utara,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Gunung Mas,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Kapuas,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Katingan,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Kotawaringin Barat,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Kotawaringin Timur,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Lamandau,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Murung Raya,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Palangka Raya,Kalimantan Tengah,Kota,kotatidakbisadigantibahasa,kalteng
Pulang Pisau,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Seruyan,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Sukamara,Kalimantan Tengah,Kabupaten,kotatidakbisadigantibahasa,kalteng
Balikpapan,Kalimantan Timur,Kota,kotatidakbisadigantibahasa,kaltim
Berau,Kalimantan Timur,Kabupaten,kotatidakbisadigantibahasa,kaltim
Bontang,Kalimantan Timur,Kota,kotatidakbisadigantibahasa,kaltim
Kutai Barat,Kalimantan Timur,Kabupaten,kotatidakbisadigantibahasa,kaltim
Kutai Kartanegara,Kalimantan Timur,Kabupaten,kotatidakbisadigantibahasa,kaltim
Kutai Timur,Kalimantan Timur,Kabupaten,kotatidakbisadigantibahasa,kaltim
Paser,Kalimantan Timur,Kabupaten,kotatidakbisadigantibahasa,kaltim
Penajam Paser Utara,Kalimantan Timur,Kabupaten,kotatidakbisadigantibahasa,kaltim
Samarinda,Kalimantan Timur,Kota,kotatidakbisadigantibahasa,kaltim
Bulungan,Kalimantan Utara,Kabupaten,kotatidakbisadigantibahasa,kalut
Malinau,Kalimantan Utara,Kabupaten,kotatidakbisadigantibahasa,kalut
Nunukan,Kalimantan Utara,Kabupaten,kotatidakbisadigantibahasa,kalut
Tana Tidung,Kalimantan Utara,Kabupaten,kotatidakbisadigantibahasa,kalut
Tarakan,Kalimantan Utara,Kota,kotatidakbisadigantibahasa,kalut
Bangka,Kepulauan Bangka Belitung,Kabupaten,kotatidakbisadigantibahasa,Bangka Belitung
Bangka Barat,Kepulauan Bangka Belitung,Kabupaten,kotatidakbisadigantibahasa,Bangka Belitung
Bangka Selatan,Kepulauan Bangka Belitung,Kabupaten,kotatidakbisadigantibahasa,Bangka Belitung
Bangka Tengah,Kepulauan Bangka Belitung,Kabupaten,kotatidakbisadigantibahasa,Bangka Belitung
Belitung,Kepulauan Bangka Belitung,Kabupaten,kotatidakbisadigantibahasa,Bangka Belitung
Belitung Timur,Kepulauan Bangka Belitung,Kabupaten,kotatidakbisadigantibahasa,Bangka Belitung
Pangkalpinang,Kepulauan Bangka Belitung,Kota,kotatidakbisadigantibahasa,Bangka Belitung
Batam,Kepulauan Riau,Kota,kotatidakbisadigantibahasa,kepri
Bintan,Kepulauan Riau,Kabupaten,kotatidakbisadigantibahasa,kepri
Karimun,Kepulauan Riau,Kabupaten,kotatidakbisadigantibahasa,kepri
Kepulauan Anambas,Kepulauan Riau,Kabupaten,kotatidakbisadigantibahasa,kepri
Lingga,Kepulauan Riau,Kabupaten,kotatidakbisadigantibahasa,kepri
Natuna,Kepulauan Riau,Kabupaten,kotatidakbisadigantibahasa,kepri
Tanjungpinang,Kepulauan Riau,Kota,kotatidakbisadigantibahasa,kepri
Bandar Lampung,Lampung,Kota,kotatidakbisadigantibahasa,Lampung
Lampung Barat,Lampung,Kabupaten,kotatidakbisadigantibahasa,Lampung
Lampung Selatan,Lampung,Kabupaten,kotatidakbisadigantibahasa,Lampung
Lampung Tengah,Lampung,Kabupaten,kotatidakbisadigantibahasa,Lampung
Lampung Timur,Lampung,Kabupaten,kotatidakbisadigantibahasa,Lampung
Lampung Utara,Lampung,Kabupaten,kotatidakbisadigantibahasa,Lampung
Mesuji,Lampung,Kabupaten,kotatidakbisadigantibahasa,Lampung
Metro,Lampung,Kota,kotatidakbisadigantibahasa,Lampung
Pesawaran,Lampung,Kabupaten,kotatidakbisadigantibahasa,Lampung
